Reviewer_ID,Reviewer_Type,Location,Date,Price,Rating,Review_Title,Review_Text
62000307,Certified Buyer,Bhubaneswar,5 months ago,"85,499",1,Terrible product,Poor performance
73946233,Certified Buyer,Guntur District,9 months ago,"85,499",1,Hated it!,"I was an ANDROID USER earlier. Major disappointment - CAMERA GOES BLURRY when you try to focus in very CLOSE RANGE.I have checked online and it seems the issue known to everyone. It seems the Iphone 13 does not focus at all at close range because iphone pro and pro max  have Macro feature in the camera (When you take camera very closer to an object, it zooms in and gives you more detail). SERIOUSLY??? Why do you have to remove the focus or make the camera blurry? Second disappointment -..."
27138733,Certified Buyer,Bengaluru,5 months ago,"85,499",1,Useless product,After using 10 minutes mobile will get heat
74154438,Certified Buyer,Barki Saraiya,5 months ago,"85,499",1,Waste of money!,The worst feature of the iPhone is that I still can't afford it ... Only ordered for other...
83625749,Certified Buyer,New Delhi,6 months ago,"85,499",1,Terrible product,whats up presentation and file manager both r better in android phones here leg in ios
50889791,Certified Buyer,Muzaffarpur,5 months ago,"85,499",1,Not recommended at all,Excess heating issue
21170810,Certified Buyer,New Delhi,1 month ago,"85,499",1,Worthless,Basic issue with this iphone 13 is heating. Performs poor than even a Chinese phone. Gets heated in just 15 to 20 mins of video streaming. Disappointed with apple .
96942093,Certified Buyer,Kandra,5 months ago,"85,499",1,Not recommended at all,The poor quality of photography. Even it is worst than a 10K mobile. Battery draining issue with camera on. I can't understand who are giving 5 star rating. No return policy for this dis-satisfaction. Disgusting phone. Don't buy this. If any body want to purchase please mail me I will sell my iPhone 13 with 10K less . It is only 2 days old.
61111067,Certified Buyer,Nashik,5 months ago,"85,499",1,Did not meet expectations,It gets heat up while charging plugged in
75689608,Certified Buyer,New Delhi,"Mar, 2022","85,499",1,Absolute rubbish!,Very poor. Within three months of usage now battery drains 100 to 0 less than two hours. Please don't buy this product
47987740,Certified Buyer,Bengaluru,5 months ago,"85,499",1,Very poor,This is the worst experience I got this time from Flipkart side.and this is not done. I am going to post all of the details in social media.because I am not getting good output from your side .
27372868,Certified Buyer,Malda,6 months ago,"85,499",1,Worthless,"Worst Phone iphone 13, low  camera quality. I Recommend very poor and don't buy in big billions day offer. Waste of money who are buying big billons day offer."
